"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 06 04:02:12 UTC 2026","Tue Jan 06 04:02:13 UTC 2026","1143","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testViewAvailableDownloads","testViewAvailableDownloads()",""
"passed","Tue Jan 06 04:02:21 UTC 2026","Tue Jan 06 04:02:22 UTC 2026","1164","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testFileSelectionWithoutUpload","testFileSelectionWithoutUpload()",""
"passed","Tue Jan 06 04:02:22 UTC 2026","Tue Jan 06 04:02:24 UTC 2026","1298","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testImageFileUpload","testImageFileUpload()",""
"passed","Tue Jan 06 04:02:20 UTC 2026","Tue Jan 06 04:02:21 UTC 2026","1308","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testSingleFileUpload","testSingleFileUpload()",""
"passed","Tue Jan 06 04:02:16 UTC 2026","Tue Jan 06 04:02:17 UTC 2026","1440","","com.ase.demo.tests.LoginTest","","com.ase.demo.tests.LoginTest","testEmptyCredentials","testEmptyCredentials()",""
"passed","Tue Jan 06 04:02:17 UTC 2026","Tue Jan 06 04:02:18 UTC 2026","1415","","com.ase.demo.tests.LoginTest","","com.ase.demo.tests.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Tue Jan 06 04:02:14 UTC 2026","Tue Jan 06 04:02:16 UTC 2026","1264","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testDownloadFileInfo","testDownloadFileInfo()",""
"passed","Tue Jan 06 04:02:18 UTC 2026","Tue Jan 06 04:02:20 UTC 2026","1429","","com.ase.demo.tests.LoginTest","","com.ase.demo.tests.LoginTest","testInvalidLogin","testInvalidLogin()",""
"passed","Tue Jan 06 04:02:13 UTC 2026","Tue Jan 06 04:02:14 UTC 2026","1477","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testMultipleDownloads","testMultipleDownloads()",""
"passed","Tue Jan 06 04:02:24 UTC 2026","Tue Jan 06 04:02:25 UTC 2026","1597","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testLargeFileUpload","testLargeFileUpload()",""
"passed","Tue Jan 06 04:02:09 UTC 2026","Tue Jan 06 04:02:12 UTC 2026","2759","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testDownloadByIndex","testDownloadByIndex()",""
