"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 13:56:24 UTC 2025","Thu Jul 10 13:56:25 UTC 2025","798","","com.ase.demo.tests.LoginTest","","com.ase.demo.tests.LoginTest","testInvalidLogin","testInvalidLogin()",""
"passed","Thu Jul 10 13:56:27 UTC 2025","Thu Jul 10 13:56:28 UTC 2025","722","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testDownloadFileInfo","testDownloadFileInfo()",""
"passed","Thu Jul 10 13:56:23 UTC 2025","Thu Jul 10 13:56:24 UTC 2025","790","","com.ase.demo.tests.LoginTest","","com.ase.demo.tests.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Thu Jul 10 13:56:16 UTC 2025","Thu Jul 10 13:56:20 UTC 2025","4220","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testSingleFileUpload","testSingleFileUpload()",""
"passed","Thu Jul 10 13:56:22 UTC 2025","Thu Jul 10 13:56:23 UTC 2025","831","","com.ase.demo.tests.LoginTest","","com.ase.demo.tests.LoginTest","testEmptyCredentials","testEmptyCredentials()",""
"passed","Thu Jul 10 13:56:21 UTC 2025","Thu Jul 10 13:56:21 UTC 2025","762","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testImageFileUpload","testImageFileUpload()",""
"passed","Thu Jul 10 13:56:25 UTC 2025","Thu Jul 10 13:56:26 UTC 2025","699","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testViewAvailableDownloads","testViewAvailableDownloads()",""
"passed","Thu Jul 10 13:56:25 UTC 2025","Thu Jul 10 13:56:25 UTC 2025","794","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testDownloadByIndex","testDownloadByIndex()",""
"passed","Thu Jul 10 13:56:26 UTC 2025","Thu Jul 10 13:56:27 UTC 2025","802","","com.ase.demo.tests.FileDownloadTest","","com.ase.demo.tests.FileDownloadTest","testMultipleDownloads","testMultipleDownloads()",""
"passed","Thu Jul 10 13:56:20 UTC 2025","Thu Jul 10 13:56:21 UTC 2025","680","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testFileSelectionWithoutUpload","testFileSelectionWithoutUpload()",""
"passed","Thu Jul 10 13:56:21 UTC 2025","Thu Jul 10 13:56:22 UTC 2025","798","","com.ase.demo.tests.FileUploadTest","","com.ase.demo.tests.FileUploadTest","testLargeFileUpload","testLargeFileUpload()",""
